Highlandtown,126.2,145,89.2,87.7,117,2.8,6.8,4.1,4.6,2.3,69.9,11.8,9.4,5.5,19.8,40.6,19.5,20.1,88.5,19.7,3.2,7,0,0,1,63.4,27.5,0,0,0.1,0,0,67.4,68.7,76.8,41.8,45.6,36.8,medium/medium,low/medium
Howard Park/West Arlington,28.7,26.8,34.1,21.3,22.3,3.8,4.6,6.3,10.6,4.5,75.7,7.6,13.1,3.4,13.1,33.5,30.5,22.8,54.2,15.8,39.2,10,0,0,13,65.5,24.1,0.4,0.4,0.3,0.5,0.1,78.2,78.9,79.3,52.6,58.1,44.4,low/medium,medium/high
Inner Harbor/Federal Hill,53,51.3,37.1,39.2,40.9,4.7,7.7,5.8,4.4,3,71.3,5.4,5.6,16.5,22,43.8,23.7,10.6,91,14.8,8.5,17,0,0,4,47.5,48,0,0,0,0.1,0,80.3,77.7,85,45.1,57.6,39.9,low/low,low/medium
Lauraville,27.7,37.2,40.1,32,27.4,2.8,5.7,3.7,4.8,2.8,78.4,9.2,8.6,3,9.5,43.6,29.8,17.1,60.3,10.7,40,2,0,0,0,75.3,12.2,0.3,0.2,0.2,0.3,0,80.7,79.7,85.3,52.5,58,43.6,medium/medium,low/high
Loch Raven,38.8,25.7,37.4,21.6,22.5,4,5.6,4.4,4.4,2,65,12.6,20.1,1.6,10.4,43.2,27.5,18.9,49.4,22.1,32.8,2,0,0,2,67.1,27.2,0.8,0.3,0.6,1,0,80.3,82.7,85.5,51.6,62.7,41,high/medium,medium/high
Madison/East End,611.9,267.7,193.2,94.3,129.7,14.3,13,9.6,10.4,4.5,38.7,10.3,40.2,9.5,15.8,32.3,17.9,34,79.3,56.6,5.7,26,0,0,18,74.1,15.6,0.2,0.2,0.2,0.3,0,78.3,77.6,74,30.6,48.3,26.3,medium/high,high/low
Medfield/Hampden/Woodberry/Remington,33.8,33,38.1,36.7,36.6,2.1,3.9,5,4,2.1,63.9,9.2,9.7,12.5,22.9,42.1,21.6,13.3,70.4,21.1,31.7,11,0,0,14,68.7,18.7,0.1,0,0.1,0.1,0.9,70.3,72,74.7,49.4,50.2,42.5,medium/low,low/high
Midtown,44,37.8,49.3,44.7,37.9,5.9,4.3,3.7,4.8,2,50.4,5.2,22.2,18.3,27.9,41.8,14.7,15.6,93.2,34.7,13.3,52,0,0,30,44.3,50.7,0,0.7,1.5,0,0.1,67.3,67.2,65.1,42.3,49.4,41,low/low,medium/high
Midway/Coldstream,155.8,142.6,130.5,110.3,135.2,8,12.2,10.7,9.9,2.5,57.9,7.5,28.8,3,16.7,37.2,17.6,28.4,74,38.9,11.6,26,0,0,20,68.4,17,0.2,0.2,0.4,0.4,0.2,90.1,81.5,85.3,38.6,53.1,31.1,low/high,high/low
Morrell Park/Violetville,28.6,22.8,32.9,41.2,36.6,2,3.2,5.1,4.1,2,66.7,19,9.9,2.8,21,44.5,16.2,18.3,42,25.3,24.9,3,0,0,1,64,23.2,0.2,0.1,0.2,0.2,0,55.3,56.2,57.1,42.6,33.9,34.9,high/medium,low/medium
